Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
Nigeria,8/7/15,20,8
Guinea,8/7/15,3795,2524
Sierra Leone,8/7/15,13428,3951
Liberia,8/7/15,10666,4806
United Kingdom,8/10/15,1,0
Senegal,8/10/15,1,0
Spain,8/10/15,1,0
Italy,8/10/15,1,0
United States of America,8/10/15,4,1
Mali,8/10/15,8,6
Nigeria,8/10/15,20,8
Guinea,8/10/15,3791,2524
Sierra Leone,8/10/15,13465,3951
Liberia,8/10/15,10666,4806
Spain,8/11/15,1,0
Italy,8/11/15,1,0
Senegal,8/11/15,1,0
United Kingdom,8/11/15,1,0
United States of America,8/11/15,4,1
Mali,8/11/15,8,6
Nigeria,8/11/15,20,8
Guinea,8/11/15,3787,2524
Sierra Leone,8/11/15,13470,3951
Liberia,8/11/15,10666,4806
Spain,8/12/15,1,0
United Kingdom,8/12/15,1,0
Italy,8/12/15,1,0
Senegal,8/12/15,1,0
United States of America,8/12/15,4,1
Mali,8/12/15,8,6
Nigeria,8/12/15,20,8
Guinea,8/12/15,3787,2524
Sierra Leone,8/12/15,13470,3951
Liberia,8/12/15,10666,4806
Senegal,8/13/15,1,0
Italy,8/13/15,1,0
Spain,8/13/15,1,0
United Kingdom,8/13/15,1,0
United States of America,8/13/15,4,1
Mali,8/13/15,8,6
Nigeria,8/13/15,20,8
Guinea,8/13/15,3792,2524
Sierra Leone,8/13/15,13484,3951
Liberia,8/13/15,10666,4806
Senegal,8/14/15,1,0
Spain,8/14/15,1,0
Italy,8/14/15,1,0
United Kingdom,8/14/15,1,0
United States of America,8/14/15,4,1
Mali,8/14/15,8,6
Nigeria,8/14/15,20,8
Guinea,8/14/15,3791,2524
Sierra Leone,8/14/15,13485,3952
Liberia,8/14/15,10666,4806
Senegal,8/17/15,1,0
Spain,8/17/15,1,0
Italy,8/17/15,1,0
United Kingdom,8/17/15,1,0
United States of America,8/17/15,4,1
Mali,8/17/15,8,6
Nigeria,8/17/15,20,8
Guinea,8/17/15,3790,2524
Sierra Leone,8/17/15,13489,3952
Liberia,8/17/15,10666,4806
United Kingdom,8/18/15,1,0
Spain,8/18/15,1,0
Italy,8/18/15,1,0
Senegal,8/18/15,1,0
United States of America,8/18/15,4,1
Mali,8/18/15,8,6
Nigeria,8/18/15,20,8
Guinea,8/18/15,3786,2524
Sierra Leone,8/18/15,13494,3952
Liberia,8/18/15,10666,4806
Italy,8/19/15,1,0
Senegal,8/19/15,1,0
Spain,8/19/15,1,0
United Kingdom,8/19/15,1,0
United States of America,8/19/15,4,1
Mali,8/19/15,8,6
Nigeria,8/19/15,20,8
Guinea,8/19/15,3786,2524
Sierra Leone,8/19/15,13494,3952
Liberia,8/19/15,10666,4806
Senegal,8/20/15,1,0
Spain,8/20/15,1,0
United Kingdom,8/20/15,1,0
Italy,8/20/15,1,0
United States of America,8/20/15,4,1
Mali,8/20/15,8,6
Nigeria,8/20/15,20,8
Guinea,8/20/15,3792,2526
Sierra Leone,8/20/15,13518,3952
Liberia,8/20/15,10666,4806
Senegal,8/21/15,1,0
Italy,8/21/15,1,0
Spain,8/21/15,1,0
United Kingdom,8/21/15,1,0
United States of America,8/21/15,4,1
Mali,8/21/15,8,6
Nigeria,8/21/15,20,8
Guinea,8/21/15,3795,2526
Sierra Leone,8/21/15,13533,3952
Liberia,8/21/15,10666,4806
Senegal,8/24/15,1,0
United Kingdom,8/24/15,1,0
Spain,8/24/15,1,0
Italy,8/24/15,1,0
United States of America,8/24/15,4,1
Mali,8/24/15,8,6
Nigeria,8/24/15,20,8
Guinea,8/24/15,3790,2527
Sierra Leone,8/24/15,13538,3952
Liberia,8/24/15,10666,4806
Italy,8/25/15,1,0
Senegal,8/25/15,1,0
Spain,8/25/15,1,0
United Kingdom,8/25/15,1,0
United States of America,8/25/15,4,1
Mali,8/25/15,8,6
Nigeria,8/25/15,20,8
Guinea,8/25/15,3792,2527
Sierra Leone,8/25/15,13541,3952
Liberia,8/25/15,10666,4806
Italy,8/26/15,1,0
Spain,8/26/15,1,0
United Kingdom,8/26/15,1,0
Senegal,8/26/15,1,0
United States of America,8/26/15,4,1
Mali,8/26/15,8,6
Nigeria,8/26/15,20,8
Guinea,8/26/15,3792,2527
Sierra Leone,8/26/15,13541,3952
Liberia,8/26/15,10666,4806
Italy,8/27/15,1,0
Spain,8/27/15,1,0
United Kingdom,8/27/15,1,0
Senegal,8/27/15,1,0
United States of America,8/27/15,4,1
Mali,8/27/15,8,6
Nigeria,8/27/15,20,8
Guinea,8/27/15,3797,2528
Sierra Leone,8/27/15,13582,3952
Liberia,8/27/15,10666,4806
Spain,8/28/15,1,0
Senegal,8/28/15,1,0
Italy,8/28/15,1,0
United Kingdom,8/28/15,1,0
United States of America,8/28/15,4,1
Mali,8/28/15,8,6
Nigeria,8/28/15,20,8
Guinea,8/28/15,3797,2528
Sierra Leone,8/28/15,13586,3952
Liberia,8/28/15,10666,4806
Senegal,8/31/15,1,0
Spain,8/31/15,1,0
United Kingdom,8/31/15,1,0
Italy,8/31/15,1,0
United States of America,8/31/15,4,1
Mali,8/31/15,8,6
Nigeria,8/31/15,20,8
Guinea,8/31/15,3790,2528
Sierra Leone,8/31/15,13603,3953
Liberia,8/31/15,10666,4806
Spain,9/1/15,1,0
Italy,9/1/15,1,0
United Kingdom,9/1/15,1,0
Senegal,9/1/15,1,0
United States of America,9/1/15,4,1
Mali,9/1/15,8,6
Nigeria,9/1/15,20,8
Guinea,9/1/15,3792,2529
Sierra Leone,9/1/15,13609,3953
Liberia,9/1/15,10666,4806
United Kingdom,9/2/15,1,0
Spain,9/2/15,1,0
Senegal,9/2/15,1,0
Italy,9/2/15,1,0
United States of America,9/2/15,4,1
Mali,9/2/15,8,6
Nigeria,9/2/15,20,8
Guinea,9/2/15,3792,2529
Sierra Leone,9/2/15,13609,3953
Liberia,9/2/15,10666,4806
Italy,9/3/15,1,0
Spain,9/3/15,1,0
Senegal,9/3/15,1,0
United Kingdom,9/3/15,1,0
United States of America,9/3/15,4,1
Mali,9/3/15,8,6
Nigeria,9/3/15,20,8
Guinea,9/3/15,3792,2529
Sierra Leone,9/3/15,13638,3953
Liberia,9/3/15,10666,4806
Spain,9/4/15,1,0
Italy,9/4/15,1,0
Senegal,9/4/15,1,0
United Kingdom,9/4/15,1,0
United States of America,9/4/15,4,1
Mali,9/4/15,8,6
Nigeria,9/4/15,20,8
Guinea,9/4/15,3792,2529
Sierra Leone,9/4/15,13639,3953
Liberia,9/4/15,10666,4806
Senegal,9/7/15,1,0
Italy,9/7/15,1,0
Spain,9/7/15,1,0
United Kingdom,9/7/15,1,0
United States of America,9/7/15,4,1
Mali,9/7/15,8,6
Nigeria,9/7/15,20,8
Guinea,9/7/15,3793,2530
Sierra Leone,9/7/15,13670,3953
Liberia,9/7/15,10666,4806
Senegal,9/8/15,1,0
United Kingdom,9/8/15,1,0
Italy,9/8/15,1,0
Spain,9/8/15,1,0
United States of America,9/8/15,4,1
Mali,9/8/15,8,6
Nigeria,9/8/15,20,8
Guinea,9/8/15,3792,2530
Sierra Leone,9/8/15,13683,3953
Liberia,9/8/15,10666,4806
Italy,9/9/15,1,0
United Kingdom,9/9/15,1,0
Senegal,9/9/15,1,0
Spain,9/9/15,1,0
United States of America,9/9/15,4,1
Mali,9/9/15,8,6
Nigeria,9/9/15,20,8
Guinea,9/9/15,3792,2530
Sierra Leone,9/9/15,13683,3953
Liberia,9/9/15,10666,4806
Italy,9/10/15,1,0
United Kingdom,9/10/15,1,0
Spain,9/10/15,1,0
Senegal,9/10/15,1,0
United States of America,9/10/15,4,1
Mali,9/10/15,8,6
Nigeria,9/10/15,20,8
Guinea,9/10/15,3791,2530
Sierra Leone,9/10/15,13697,3953
Liberia,9/10/15,10666,4806
Italy,9/11/15,1,0
Spain,9/11/15,1,0
Senegal,9/11/15,1,0
United Kingdom,9/11/15,1,0
United States of America,9/11/15,4,1
Mali,9/11/15,8,6
Nigeria,9/11/15,20,8
Guinea,9/11/15,3791,2530
Sierra Leone,9/11/15,13701,3953
Liberia,9/11/15,10666,4806
Spain,9/14/15,1,0
Senegal,9/14/15,1,0
Italy,9/14/15,1,0
United Kingdom,9/14/15,1,0
United States of America,9/14/15,4,1
Mali,9/14/15,8,6
Nigeria,9/14/15,20,8
Guinea,9/14/15,3793,2530
Sierra Leone,9/14/15,13747,3953
Liberia,9/14/15,10666,4806
Senegal,9/15/15,1,0
Italy,9/15/15,1,0
Spain,9/15/15,1,0
United Kingdom,9/15/15,1,0
United States of America,9/15/15,4,1
Mali,9/15/15,8,6
Nigeria,9/15/15,20,8
Guinea,9/15/15,3792,2530
Sierra Leone,9/15/15,13756,3953
Liberia,9/15/15,10666,4806
Senegal,9/16/15,1,0
United Kingdom,9/16/15,1,0
Spain,9/16/15,1,0
Italy,9/16/15,1,0
United States of America,9/16/15,4,1
Mali,9/16/15,8,6
Nigeria,9/16/15,20,8
Guinea,9/16/15,3792,2530
Sierra Leone,9/16/15,13756,3953
Liberia,9/16/15,10666,4806
Spain,9/17/15,1,0
Senegal,9/17/15,1,0
United Kingdom,9/17/15,1,0
Italy,9/17/15,1,0
United States of America,9/17/15,4,1
Mali,9/17/15,8,6
Nigeria,9/17/15,20,8
Guinea,9/17/15,3794,2530
Sierra Leone,9/17/15,13779,3955
Liberia,9/17/15,10666,4806
Senegal,9/18/15,1,0
United Kingdom,9/18/15,1,0
Spain,9/18/15,1,0
Italy,9/18/15,1,0
United States of America,9/18/15,4,1
Mali,9/18/15,8,6
Nigeria,9/18/15,20,8
Guinea,9/18/15,3794,2531
Sierra Leone,9/18/15,13785,3955
Liberia,9/18/15,10666,4806
United Kingdom,9/21/15,1,0
Senegal,9/21/15,1,0
Italy,9/21/15,1,0
Spain,9/21/15,1,0
United States of America,9/21/15,4,1
Mali,9/21/15,8,6
Nigeria,9/21/15,20,8
Guinea,9/21/15,3797,2532
Sierra Leone,9/21/15,13811,3955
Liberia,9/21/15,10666,4806
Italy,9/22/15,1,0
Spain,9/22/15,1,0
United Kingdom,9/22/15,1,0
Senegal,9/22/15,1,0
United States of America,9/22/15,4,1
Mali,9/22/15,8,6
Nigeria,9/22/15,20,8
Guinea,9/22/15,3800,2532
Sierra Leone,9/22/15,13823,3955
Liberia,9/22/15,10666,4806
Spain,9/23/15,1,0
United Kingdom,9/23/15,1,0
Senegal,9/23/15,1,0
Italy,9/23/15,1,0
United States of America,9/23/15,4,1
Mali,9/23/15,8,6
Nigeria,9/23/15,20,8
Guinea,9/23/15,3800,2532
Sierra Leone,9/23/15,13823,3955
Liberia,9/23/15,10666,4806
United Kingdom,9/24/15,1,0
Italy,9/24/15,1,0
Senegal,9/24/15,1,0
Spain,9/24/15,1,0
United States of America,9/24/15,4,1
Mali,9/24/15,8,6
Nigeria,9/24/15,20,8
Guinea,9/24/15,3801,2533
Sierra Leone,9/24/15,13846,3955
Liberia,9/24/15,10666,4806
Senegal,9/25/15,1,0
United Kingdom,9/25/15,1,0
Italy,9/25/15,1,0
Spain,9/25/15,1,0
United States of America,9/25/15,4,1
Mali,9/25/15,8,6
Nigeria,9/25/15,20,8
Guinea,9/25/15,3797,2533
Sierra Leone,9/25/15,13855,3955
Liberia,9/25/15,10666,4806
Spain,9/28/15,1,0
Senegal,9/28/15,1,0
Italy,9/28/15,1,0
United Kingdom,9/28/15,1,0
United States of America,9/28/15,4,1
Mali,9/28/15,8,6
Nigeria,9/28/15,20,8
Guinea,9/28/15,3805,2533
Sierra Leone,9/28/15,13894,3955
Liberia,9/28/15,10666,4806
Spain,9/29/15,1,0
Senegal,9/29/15,1,0
Italy,9/29/15,1,0
United Kingdom,9/29/15,1,0
United States of America,9/29/15,4,1
Mali,9/29/15,8,6
Nigeria,9/29/15,20,8
Guinea,9/29/15,3805,2533
Sierra Leone,9/29/15,13911,3955
Liberia,9/29/15,10666,4806
Italy,9/30/15,1,0
Senegal,9/30/15,1,0
Spain,9/30/15,1,0
United Kingdom,9/30/15,1,0
United States of America,9/30/15,4,1
Mali,9/30/15,8,6
Nigeria,9/30/15,20,8
Guinea,9/30/15,3805,2533
Sierra Leone,9/30/15,13911,3955
Liberia,9/30/15,10666,4806
Italy,10/1/15,1,0
United Kingdom,10/1/15,1,0
Spain,10/1/15,1,0
Senegal,10/1/15,1,0
United States of America,10/1/15,4,1
Mali,10/1/15,8,6
Nigeria,10/1/15,20,8
Guinea,10/1/15,3808,2533
Sierra Leone,10/1/15,13928,3955
Liberia,10/1/15,10666,4806
Senegal,10/2/15,1,0
Spain,10/2/15,1,0
Italy,10/2/15,1,0
United Kingdom,10/2/15,1,0
United States of America,10/2/15,4,1
Mali,10/2/15,8,6
Nigeria,10/2/15,20,8
Guinea,10/2/15,3809,2533
Sierra Leone,10/2/15,13931,3955
Liberia,10/2/15,10666,4806
United Kingdom,10/5/15,1,0
Italy,10/5/15,1,0
Spain,10/5/15,1,0
Senegal,10/5/15,1,0
United States of America,10/5/15,4,1
Mali,10/5/15,8,6
Nigeria,10/5/15,20,8
Guinea,10/5/15,3804,2534
Sierra Leone,10/5/15,13941,3955
Liberia,10/5/15,10666,4806
United Kingdom,10/6/15,1,0
Senegal,10/6/15,1,0
Italy,10/6/15,1,0
Spain,10/6/15,1,0
United States of America,10/6/15,4,1
Mali,10/6/15,8,6
Nigeria,10/6/15,20,8
Guinea,10/6/15,3804,2534
Sierra Leone,10/6/15,13945,3955
Liberia,10/6/15,10666,4806
Italy,10/7/15,1,0
United Kingdom,10/7/15,1,0
Spain,10/7/15,1,0
Senegal,10/7/15,1,0
United States of America,10/7/15,4,1
Mali,10/7/15,8,6
Nigeria,10/7/15,20,8
Guinea,10/7/15,3804,2534
Sierra Leone,10/7/15,13945,3955
Liberia,10/7/15,10666,4806
Italy,10/8/15,1,0
United Kingdom,10/8/15,1,0
Senegal,10/8/15,1,0
Spain,10/8/15,1,0
United States of America,10/8/15,4,1
Mali,10/8/15,8,6
Nigeria,10/8/15,20,8
Guinea,10/8/15,3799,2534
Sierra Leone,10/8/15,13956,3955
Liberia,10/8/15,10666,4806
Spain,10/9/15,1,0
United Kingdom,10/9/15,1,0
Senegal,10/9/15,1,0
Italy,10/9/15,1,0
United States of America,10/9/15,4,1
Mali,10/9/15,8,6
Nigeria,10/9/15,20,8
Guinea,10/9/15,3800,2534
Sierra Leone,10/9/15,13957,3955
Liberia,10/9/15,10666,4806
United Kingdom,10/13/15,1,0
Italy,10/13/15,1,0
Spain,10/13/15,1,0
Senegal,10/13/15,1,0
United States of America,10/13/15,4,1
Mali,10/13/15,8,6
Nigeria,10/13/15,20,8
Guinea,10/13/15,3800,2534
Sierra Leone,10/13/15,13982,3955
Liberia,10/13/15,10666,4806
United Kingdom,10/15/15,1,0
Senegal,10/15/15,1,0
Spain,10/15/15,1,0
Italy,10/15/15,1,0
United States of America,10/15/15,4,1
Mali,10/15/15,8,6
Nigeria,10/15/15,20,8
Guinea,10/15/15,3802,2534
Sierra Leone,10/15/15,13992,3955
Liberia,10/15/15,10666,4806
Senegal,10/16/15,1,0
Italy,10/16/15,1,0
Spain,10/16/15,1,0
United Kingdom,10/16/15,1,0
United States of America,10/16/15,4,1
Mali,10/16/15,8,6
Nigeria,10/16/15,20,8
Guinea,10/16/15,3804,2535
Sierra Leone,10/16/15,13992,3955
Liberia,10/16/15,10666,4806
Italy,10/20/15,1,0
Senegal,10/20/15,1,0
United Kingdom,10/20/15,1,0
Spain,10/20/15,1,0
United States of America,10/20/15,4,1
Mali,10/20/15,8,6
Nigeria,10/20/15,20,8
Guinea,10/20/15,3803,2535
Sierra Leone,10/20/15,14001,3955
Liberia,10/20/15,10666,4806
Spain,10/22/15,1,0
Italy,10/22/15,1,0
United Kingdom,10/22/15,1,0
Senegal,10/22/15,1,0
United States of America,10/22/15,4,1
Mali,10/22/15,8,6
Nigeria,10/22/15,20,8
Guinea,10/22/15,3801,2535
Sierra Leone,10/22/15,14031,3955
Liberia,10/22/15,10666,4806
Senegal,10/23/15,1,0
United Kingdom,10/23/15,1,0
Spain,10/23/15,1,0
Italy,10/23/15,1,0
United States of America,10/23/15,4,1
Mali,10/23/15,8,6
Nigeria,10/23/15,20,8
Guinea,10/23/15,3801,2535
Sierra Leone,10/23/15,14038,3955
Liberia,10/23/15,10666,4806
Italy,10/26/15,1,0
United Kingdom,10/26/15,1,0
Senegal,10/26/15,1,0
Spain,10/26/15,1,0
United States of America,10/26/15,4,1
Mali,10/26/15,8,6
Nigeria,10/26/15,20,8
Guinea,10/26/15,3804,2535
Sierra Leone,10/26/15,14052,3955
Liberia,10/26/15,10666,4806
United Kingdom,10/27/15,1,0
Spain,10/27/15,1,0
Senegal,10/27/15,1,0
Italy,10/27/15,1,0
United States of America,10/27/15,4,1
Mali,10/27/15,8,6
Nigeria,10/27/15,20,8
Guinea,10/27/15,3806,2535
Sierra Leone,10/27/15,14061,3955
Liberia,10/27/15,10666,4806
Italy,10/29/15,1,0
United Kingdom,10/29/15,1,0
Senegal,10/29/15,1,0
Spain,10/29/15,1,0
United States of America,10/29/15,4,1
Mali,10/29/15,8,6
Nigeria,10/29/15,20,8
Guinea,10/29/15,3808,2536
Sierra Leone,10/29/15,14066,3955
Liberia,10/29/15,10666,4806
Senegal,10/30/15,1,0
United Kingdom,10/30/15,1,0
Italy,10/30/15,1,0
Spain,10/30/15,1,0
United States of America,10/30/15,4,1
Mali,10/30/15,8,6
Nigeria,10/30/15,20,8
Guinea,10/30/15,3808,2536
Sierra Leone,10/30/15,14067,3955
Liberia,10/30/15,10666,4806
United Kingdom,11/3/15,1,0
Spain,11/3/15,1,0
Senegal,11/3/15,1,0
Italy,11/3/15,1,0
United States of America,11/3/15,4,1
Mali,11/3/15,8,6
Nigeria,11/3/15,20,8
Guinea,11/3/15,3810,2536
Sierra Leone,11/3/15,14089,3955
Liberia,11/3/15,10666,4806
United Kingdom,11/5/15,1,0
Senegal,11/5/15,1,0
Italy,11/5/15,1,0
Spain,11/5/15,1,0
United States of America,11/5/15,4,1
Mali,11/5/15,8,6
Nigeria,11/5/15,20,8
Guinea,11/5/15,3805,2536
Sierra Leone,11/5/15,14104,3955
Liberia,11/5/15,10666,4806
Italy,11/6/15,1,0
United Kingdom,11/6/15,1,0
Senegal,11/6/15,1,0
Spain,11/6/15,1,0
United States of America,11/6/15,4,1
Mali,11/6/15,8,6
Nigeria,11/6/15,20,8
Guinea,11/6/15,3805,2536
Sierra Leone,11/6/15,14109,3955
Liberia,11/6/15,10666,4806
Italy,11/10/15,1,0
Spain,11/10/15,1,0
Senegal,11/10/15,1,0
United Kingdom,11/10/15,1,0
United States of America,11/10/15,4,1
Mali,11/10/15,8,6
Nigeria,11/10/15,20,8
Guinea,11/10/15,3805,2536
Sierra Leone,11/10/15,14122,3955
Liberia,11/10/15,10666,4806
Italy,11/11/15,1,0
United Kingdom,11/11/15,1,0
Spain,11/11/15,1,0
Senegal,11/11/15,1,0
United States of America,11/11/15,4,1
Mali,11/11/15,8,6
Nigeria,11/11/15,20,8
Guinea,11/11/15,3805,2536
Sierra Leone,11/11/15,14122,3955
Liberia,11/11/15,10666,4806
Senegal,11/12/15,1,0
Spain,11/12/15,1,0
Italy,11/12/15,1,0
United Kingdom,11/12/15,1,0
United States of America,11/12/15,4,1
Mali,11/12/15,8,6
Nigeria,11/12/15,20,8
Guinea,11/12/15,3805,2536
Sierra Leone,11/12/15,14122,3955
Liberia,11/12/15,10666,4806
Senegal,11/16/15,1,0
Spain,11/16/15,1,0
Italy,11/16/15,1,0
United Kingdom,11/16/15,1,0
United States of America,11/16/15,4,1
Mali,11/16/15,8,6
Nigeria,11/16/15,20,8
Guinea,11/16/15,3805,2536
Sierra Leone,11/16/15,14122,3955
Liberia,11/16/15,10666,4806
United Kingdom,11/17/15,1,0
Italy,11/17/15,1,0
Senegal,11/17/15,1,0
Spain,11/17/15,1,0
United States of America,11/17/15,4,1
Mali,11/17/15,8,6
Nigeria,11/17/15,20,8
Guinea,11/17/15,3804,2536
Sierra Leone,11/17/15,14122,3955
Liberia,11/17/15,10666,4806
Senegal,11/20/15,1,0
Spain,11/20/15,1,0
United Kingdom,11/20/15,1,0
Italy,11/20/15,1,0
United States of America,11/20/15,4,1
Mali,11/20/15,8,6
Nigeria,11/20/15,20,8
Guinea,11/20/15,3804,2536
Sierra Leone,11/20/15,14122,3955
Liberia,11/20/15,10666,4806
Senegal,11/24/15,1,0
United Kingdom,11/24/15,1,0
Italy,11/24/15,1,0
Spain,11/24/15,1,0
United States of America,11/24/15,4,1
Mali,11/24/15,8,6
Nigeria,11/24/15,20,8
Guinea,11/24/15,3804,2536
Sierra Leone,11/24/15,14122,3955
Liberia,11/24/15,10666,4806
Italy,11/26/15,1,0
United Kingdom,11/26/15,1,0
Spain,11/26/15,1,0
Senegal,11/26/15,1,0
United States of America,11/26/15,4,1
Mali,11/26/15,8,6
Nigeria,11/26/15,20,8
Guinea,11/26/15,3804,2536
Sierra Leone,11/26/15,14122,3955
Liberia,11/26/15,10666,4806
Italy,12/1/15,1,0
Spain,12/1/15,1,0
Senegal,12/1/15,1,0
United Kingdom,12/1/15,1,0
United States of America,12/1/15,4,1
Mali,12/1/15,8,6
Nigeria,12/1/15,20,8
Guinea,12/1/15,3804,2536
Sierra Leone,12/1/15,14122,3955
Liberia,12/1/15,10666,4806
United Kingdom,12/2/15,1,0
Spain,12/2/15,1,0
Senegal,12/2/15,1,0
Italy,12/2/15,1,0
United States of America,12/2/15,4,1
Mali,12/2/15,8,6
Nigeria,12/2/15,20,8
Guinea,12/2/15,3804,2536
Sierra Leone,12/2/15,14122,3955
Liberia,12/2/15,10666,4806
Italy,12/3/15,1,0
United Kingdom,12/3/15,1,0
Spain,12/3/15,1,0
Senegal,12/3/15,1,0
United States of America,12/3/15,4,1
Mali,12/3/15,8,6
Nigeria,12/3/15,20,8
Guinea,12/3/15,3805,2536
Sierra Leone,12/3/15,14122,3955
Liberia,12/3/15,10666,4806
United Kingdom,12/9/15,1,0
Spain,12/9/15,1,0
Italy,12/9/15,1,0
Senegal,12/9/15,1,0
United States of America,12/9/15,4,1
Mali,12/9/15,8,6
Nigeria,12/9/15,20,8
Guinea,12/9/15,3804,2536
Sierra Leone,12/9/15,14122,3955
Liberia,12/9/15,10666,4806
Italy,12/10/15,1,0
Spain,12/10/15,1,0
United Kingdom,12/10/15,1,0
Senegal,12/10/15,1,0
United States of America,12/10/15,4,1
Mali,12/10/15,8,6
Nigeria,12/10/15,20,8
Guinea,12/10/15,3804,2536
Sierra Leone,12/10/15,14122,3955
Liberia,12/10/15,10666,4806
Spain,12/11/15,1,0
Senegal,12/11/15,1,0
United Kingdom,12/11/15,1,0
Italy,12/11/15,1,0
United States of America,12/11/15,4,1
Mali,12/11/15,8,6
Nigeria,12/11/15,20,8
Guinea,12/11/15,3804,2536
Sierra Leone,12/11/15,14122,3955
Liberia,12/11/15,10666,4806
Spain,12/15/15,1,0
Italy,12/15/15,1,0
Senegal,12/15/15,1,0
United Kingdom,12/15/15,1,0
United States of America,12/15/15,4,1
Mali,12/15/15,8,6
Nigeria,12/15/15,20,8
Guinea,12/15/15,3807,2536
Sierra Leone,12/15/15,14122,3955
Liberia,12/15/15,10666,4806
Spain,12/16/15,1,0
United Kingdom,12/16/15,1,0
Italy,12/16/15,1,0
Senegal,12/16/15,1,0
United States of America,12/16/15,4,1
Mali,12/16/15,8,6
Nigeria,12/16/15,20,8
Guinea,12/16/15,3807,2536
Sierra Leone,12/16/15,14122,3955
Liberia,12/16/15,10666,4806
Spain,12/17/15,1,0
United Kingdom,12/17/15,1,0
Italy,12/17/15,1,0
Senegal,12/17/15,1,0
United States of America,12/17/15,4,1
Mali,12/17/15,8,6
Nigeria,12/17/15,20,8
Guinea,12/17/15,3805,2536
Sierra Leone,12/17/15,14122,3955
Liberia,12/17/15,10666,4806
Senegal,12/22/15,1,0
Spain,12/22/15,1,0
United Kingdom,12/22/15,1,0
Italy,12/22/15,1,0
United States of America,12/22/15,4,1
Mali,12/22/15,8,6
Nigeria,12/22/15,20,8
Guinea,12/22/15,3804,2536
Sierra Leone,12/22/15,14122,3955
Liberia,12/22/15,10666,4806
United Kingdom,12/23/15,1,0
Italy,12/23/15,1,0
Senegal,12/23/15,1,0
Spain,12/23/15,1,0
United States of America,12/23/15,4,1
Mali,12/23/15,8,6
Nigeria,12/23/15,20,8
Guinea,12/23/15,3804,2536
Sierra Leone,12/23/15,14122,3955
Liberia,12/23/15,10666,4806
United Kingdom,12/29/15,1,0
Italy,12/29/15,1,0
Spain,12/29/15,1,0
Senegal,12/29/15,1,0
United States of America,12/29/15,4,1
Mali,12/29/15,8,6
Nigeria,12/29/15,20,8
Guinea,12/29/15,3804,2536
Sierra Leone,12/29/15,14122,3955
Liberia,12/29/15,10666,4806
Spain,3/23/16,1,0
Senegal,3/23/16,1,0
United Kingdom,3/23/16,1,0
Italy,3/23/16,1,0
United States of America,3/23/16,4,1
Mali,3/23/16,8,6
Nigeria,3/23/16,20,8
Guinea,3/23/16,3804,2536
Sierra Leone,3/23/16,14122,3955
Liberia,3/23/16,10666,4806